HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
62167,Fundación Forjando Futuros (Colombia),,,441 - National NGO,,,,
54848,Fundación Halü Bienestar Humano,,,441 - National NGO,,,,
62168,Fundación Ideas para la Paz (Colombia),,,441 - National NGO,,,,
62169,Fundación Paz y Reconciliación (Colombia),,,441 - National NGO,,,,
62170,Fundación restrepo barco (Colombia),,,441 - National NGO,,,,
60845,Fundación SAHED,SAHED,http://www.fundacionsahed.org/,441 - National NGO,,,,
56770,Fundación Samu,Samu,http://www.samu.es/,438 - International Organization,,,,
62171,Fundación Sinergia Colombia (Colombia),,,441 - National NGO,,,,
62172,Fundacion Social (Colombia),,,441 - National NGO,,,,
62173,Fundacion Sur Futuro (Domincian Republic),,,441 - National NGO,,,,
62174,Fundacion Tierra de Paz (Colombia),,,441 - National NGO,,,,
62616,Fundasaun Esperansa Enclave Oecusse (Timor-Leste),FEEO,fundasaunenclave.tl,441 - National NGO,,,,
62175,FUNDESIN (Colombia),,,441 - National NGO,,,,
61391,Future Generation,FG,http://www.future.org/,438 - International Organization,,,,
17299,Galing Pook Foundation,GPF,,441 - National NGO,,,,
50361,Gambia Red Cross Society,GRCS,,445 - Red Cross / Red Crescent,,,,
2115,Ganana River Agricultural Development Association,GRADA,,441 - National NGO,,,,
52537,Gaplink International,,,443 - Other,,,,
17300,Gaston Z. Ortigas - Peace Institute,GZO,,441 - National NGO,,,,
61832,Gavi Alliance,Gavi,http://www.gavi.org/,438 - International Organization,,,,
2116,Gedo Women Development Organization,GEWDO,,441 - National NGO,,,,
62642,Gedo Women Development Organization (Somalia),GEWDO,http://www.gewdo.org/,441 - National NGO,,,,
577,Geeks Without Bounds,GWOB,http://www.gwob.org,437 - International NGO,,,,
62581,Gender Based Violence Sub-Cluster - South Sudan,,,443 - Other,,,,
2117,Gender Education Empowerment and Leadership Organization,GEELO,,441 - National NGO,,,,
61393,Gender Peace Seekers Network,GPSN,,438 - International Organization,,,,
54786,Gender Research and Resource Center,GRRC,,441 - National NGO,,,,
61659,Gender Standby Capacity project,GenCap,https://www.humanitarianresponse.info/en/coordination/gencap,437 - International NGO,,,,
60859,Gender-based violence - Turkey Cross Border,GBV-STIMA,,443 - Other,,,,
61640,Genderforce,Genderforce,http://www.genderforce.com/,444 - Private sector,,,,
62720,Génération Bénie,Ce.Bénie,,441 - National NGO,,,,
578,Geneva International Centre for Humanitarian Demining,GICHD,http://www.gichd.org,437 - International NGO,6501,,,
17301,"Geodata Systems Technologies, Inc.",GEODATA,http://www.geodata.com.ph,444 - Private sector,,,,
61223,Georgia Red Cross Society,,http://www.redcross.ge/,445 - Red Cross / Red Crescent,,,,
62993,Gerakan Sadar Bencana Nusantara (Indonesia),Gesabentara,,432 - Civilian,,,,
1072,German Academic Exchange Service,DAAD,http://www.daad.de,431 - Academic / Research,,,,
53140,German Agro Action,GAA,,437 - International NGO,,,,
17302,German Federal Agency for Technical Relief,THW,http://www.thw.de/EN/,435 - Government,,,,
46644,German International Cooperation,GIZ,,433 - Donor,,,,
53141,German Leprosy and Tuberculosis Relief Association,DAHW,http://www.dahw.de/annual-reports/annual-report-2005/the-german-leprosy-and-tube...,437 - International NGO,,,,
17303,German Medical Aid Organisation action medeor,medeor,http://medeor.de,438 - International Organization,,,,
56692,German Nepalese Help,,,437 - International NGO,,,,
17304,German Red Cross,DRK,http://www.drk.de/,445 - Red Cross / Red Crescent,,,,
62176,Geutanyoe Foundation for Aceh (Indonesia),,,441 - National NGO,,,,
61394,"GFA Consulting Group Hambourg, GmbH/PNKB",GFA,http://www.gfa-group.de/,438 - International Organization,,,,
62177,Gift of the Givers (South Africa),,,441 - National NGO,,,,
53518,GISAT,GISAT,http://www.gisat.cz,444 - Private sector,,,,
61395,Glasswing,Glasswing,www.glasswing.org,438 - International Organization,,,,
17305,GlaxoSmithKline,GSK,,438 - International Organization,,,,
17306,Global Aid Network,GAiN,http://globalaid.net,437 - International NGO,,,,
46645,Global Camp Coordination / Management Cluster,CM,http://www.globalcccmcluster.org/,443 - Other,,,,
56749,Global Care International,GCI,http://www.globalcare.or.kr/,437 - International NGO,,,,
17307,Global Communities,Global Communities,http://www.globalcommunities.org/,437 - International NGO,,,,
61295,Global Crisis Response Support Programme,GCRSP,http://www.gcrsp.eu/,438 - International Organization,,,,
50496,Global Crisis Solutions,GCS,,437 - International NGO,,,,
61396,Global Crop Diversity Trust,Global Crop Diversity Trust,http://www.croptrust.org,438 - International Organization,,,,
17308,Global Disaster Immediate Response Team,Global DIRT,http://www.globaldirt.org/,437 - International NGO,,,,
911,Global Education Cluster,,http://www.educationcluster.net,443 - Other,,,,
46646,Global Emergency Shelter and NFI Cluster,ES,https://www.sheltercluster.org/,443 - Other,,,,
